#{"t_start": 1648198131.2621784, "env_id": "PandaInsert-v1"}
r,l,t
-853.05615,1000,66.936104
-680.763837,1000,132.120294
-1039.188059,1000,196.542957
-995.446788,1000,264.917305
-945.079874,1000,330.356517
-972.695494,1000,393.877895
-472.111195,1000,463.013051
-1023.469289,1000,510.641366
-1010.793358,1000,582.998555
-565.055099,1000,646.692035
-883.361617,819,705.217748
-1049.45875,1000,739.074364
-964.174533,1000,804.736022
-1020.937242,977,869.66973
-491.768566,1000,940.887524
-44.449178,222,965.493569
-377.696835,1000,1035.12179
-637.962084,548,1077.740618
-558.94947,474,1115.364607
-640.54937,1000,1184.002865
-1041.471019,1000,1221.381077
-63.303895,233,1243.401105
-514.706738,414,1279.359555
-839.143964,858,1334.404063
-1048.446911,1000,1360.298781
-901.968901,1000,1418.04892
-591.393885,509,1461.086697
-782.576222,724,1513.96795
-742.842232,663,1563.743918
-872.803138,1000,1631.011374
-1002.473482,946,1700.629157
-1062.415847,1000,1768.364149
-870.675711,1000,1830.741775
-951.530715,1000,1892.327415
-657.015321,1000,1957.047751
-925.330332,1000,2015.109363
-841.984712,1000,2077.192216
-1053.501799,1000,2145.058248
-983.85064,1000,2208.03219
-816.545377,1000,2272.367235
-1083.003131,1000,2327.99953
-631.732876,1000,2394.617101
-837.646511,1000,2455.941415
-962.483206,1000,2518.480031
-967.860464,1000,2581.541731
-806.938684,1000,2645.161587
-966.180267,1000,2702.93931
-756.469298,1000,2769.991579
-983.175245,1000,2811.189181
-964.753192,1000,2879.442541
-965.489855,1000,2942.394095
-924.187872,1000,3013.267354
-753.851408,1000,3073.349262
-907.549447,1000,3145.270423
-507.687071,1000,3213.712786
-862.458674,1000,3279.852311
-987.606424,1000,3325.793475
-994.221217,1000,3398.741128
-913.002236,1000,3467.850586
-416.928737,1000,3537.9433
-1020.623661,1000,3588.464334
-385.498202,694,3630.722645
-831.734252,1000,3700.635619
-869.681778,1000,3774.035186
-781.075372,1000,3842.404076
-820.994164,1000,3903.651939
-949.817356,1000,3980.025712
-1064.962334,1000,4024.926769
-621.379777,1000,4099.518625
-923.610863,1000,4176.047279
49.868367,59,4189.967685
-632.817755,1000,4260.523774
-859.240742,861,4322.537158
-1034.687347,1000,4357.172249
-751.282846,730,4408.876275
-1014.405749,1000,4444.800553
-393.321827,1000,4516.62273
-165.471747,394,4546.778585
-1027.506179,1000,4599.185651
-965.071681,960,4653.795506
-836.715716,1000,4732.296301
-655.245852,609,4781.429639
-805.243926,705,4813.686852
54.903911,69,4827.956997
-778.50603,808,4893.343645
-538.967953,476,4932.990189
-183.980831,1000,5008.663266
54.927804,66,5022.529975
-566.486192,504,5063.994766
-1010.00748,1000,5105.471655
-705.425574,722,5162.162886
47.596199,66,5176.794142
-808.964242,915,5245.410004
35.614796,112,5261.047709
-635.04451,602,5306.979934
-625.355248,592,5354.229153
-1025.589761,1000,5385.809545
-635.868495,591,5432.679192
-1034.460516,993,5478.76159
19.800617,171,5497.625195
-699.389318,696,5550.018856
-291.938153,1000,5620.232718
-595.959603,538,5663.908347
-691.545529,1000,5742.072122
32.325129,104,5757.423608
-583.326464,837,5820.73165
-459.91309,999,5895.502531
-944.754404,1000,5942.14747
-980.445051,909,5983.581289
-73.054691,247,6006.008653
-482.816512,1000,6078.984143
-554.396807,482,6119.0068
-928.170556,1000,6172.266841
-709.218234,686,6221.304441
-1045.831501,1000,6251.78936
-1049.741575,1000,6301.350339
-560.491958,1000,6373.6548
10.836141,139,6390.659542
-460.864275,1000,6464.090623
